trait,term,Estimate,Std. Error,df,t value,lower,upper,Pr(>|t|)
IVTDMD48,FD3:locOR:year2020,77.2636363636401,2.7625161090807,8.74599431446039,27.9685740509045,70.9866149254733,83.5406578018068,7.33590628532962e-10
IVTDMD48,FD4:locOR:year2020,77.9945454545485,2.88643538784791,10.4374360403726,27.0210605728127,71.5995159641041,84.3895749449928,5.31034299381699e-11
IVTDMD48,FD5:locOR:year2020,75.3945454545491,2.88643538784791,10.4374360403087,26.1202955631591,68.9995159640997,81.7895749449986,7.5291565601799e-11
IVTDMD48,FD6:locOR:year2020,79.1345454545492,2.88643538784791,10.4374360411721,27.4160113847381,72.7395159641681,85.5295749449302,4.57285709078659e-11
IVTDMD48,FD1:locWA:year2020,75.5518181818219,2.88643538784792,10.4374360384961,26.1747823976591,69.1567886912289,81.9468476724149,7.36938351710776e-11
IVTDMD48,FD2:locWA:year2020,76.9272727272765,2.88643538784791,10.4374360381261,26.6513059849341,70.5322432366542,83.3223022178988,6.12009841139599e-11
IVTDMD48,FD3:locWA:year2020,77.7965909090947,2.7625161090807,8.74599431484457,28.1614976482376,71.5195694709713,84.0736123472181,6.91199470672227e-10
IVTDMD48,FD4:locWA:year2020,78.0118181818213,2.88643538784791,10.4374360371584,27.0270446760237,71.6167886911223,84.4068476725202,5.29824248711582e-11
IVTDMD48,FD5:locWA:year2020,79.2518181818219,2.88643538784791,10.4374360375441,27.4566402960127,72.8567886911535,85.6468476724903,4.503596951445e-11
IVTDMD48,FD6:locWA:year2020,81.3268181818219,2.88643538784791,10.4374360359515,28.1755200633325,74.9317886910274,87.7218476726164,3.45015504728614e-11
K,FD1,2.52368976608674,0.0690671200171562,5.6027434888874,36.5396698958906,2.35174099451082,2.69563853766267,6.99543759052516e-08
K,FD2,2.52654606399805,0.0690671200171561,5.60274358079609,36.5810252891746,2.35459729316318,2.69849483483291,6.95140195378567e-08
K,FD3,2.478813264955,0.0640810462305441,4.14286468943367,38.6824718191551,2.30328951131377,2.65433701859623,1.84960539480877e-06
K,FD4,2.57502749783776,0.0690671200171562,5.60274355721033,37.2829719437864,2.40307872681273,2.7469762688628,6.25155549651867e-08
K,FD5,2.48255757784243,0.0690671200171563,5.60274357798499,35.9441305388984,2.3106088069849,2.65450634869996,7.66746872257758e-08
K,FD6,2.37686120959635,0.0690671200171562,5.60274360759,34.4137877619038,2.20491243897752,2.54880998021518,9.77471086078083e-08
K,locID,2.77332249023007,0.105359880685932,11.0086610527034,26.3223769064156,2.5414492136706,3.00519576678953,2.72024474981459e-11
K,locOR,2.57240333199477,0.0992582355826833,11.6770197326672,25.9162709964951,2.3554729135293,2.78933375046024,1.10608736458369e-11
K,locWA,2.13602186793333,0.101351130793445,10.2735770150938,21.0754616274245,1.91100995148623,2.36103378438043,8.62462747268518e-10
K,year2018,2.52811370708083,0.0798363498626547,3.18999973055131,31.6661985603054,2.28238895962872,2.77383845453294,4.27940304750247e-05
K,year2019,2.66105818256436,0.0649778458273872,3.48449204617814,40.9533149134157,2.4696211048865,2.85249526024223,8.42077471036982e-06
K,year2020,2.29257580051297,0.126046566372073,2.33740647374076,18.188324097188,1.81876756509432,2.76638403593162,0.00143174747552314
K,FD1:locID,2.81807298168528,0.122387866537022,19.4123215459023,23.0257546064242,2.56227999157731,3.07386597179325,1.46673027570436e-15
K,FD2:locID,2.83131166647409,0.122387866537023,19.4123220583837,23.1339245187153,2.5755186768129,3.08710465613528,1.34326582304285e-15
K,FD3:locID,2.75842182237193,0.113367070769099,14.183024778692,24.3317729183473,2.51556767684,3.00127596790385,5.72324023128007e-13
K,FD4:locID,2.78993926308109,0.122387866537023,19.4123220411503,22.7958811769721,2.53414627340487,3.0457322527573,1.77036393252645e-15
K,FD5:locID,2.69612679933695,0.122387866537023,19.4123220580067,22.0293634951252,2.44033380967543,2.95191978899847,3.35882583120758e-15
K,FD6:locID,2.74606240843107,0.122387866537023,19.4123220651049,22.4373746036367,2.49026941877574,3.0018553980864,2.38256286267803e-15
K,FD1:locOR,2.66937505656747,0.115555445342266,20.7595616524006,23.1003830988752,2.42889476559369,2.90985534754126,2.74098588206907e-16
K,FD2:locOR,2.59919800115312,0.115555445342266,20.7595616578914,22.4930810785637,2.35871771018326,2.83967829212298,4.66955272771439e-16
K,FD3:locOR,2.53593957347765,0.106897929091752,15.1060929783262,23.7230000152858,2.3082313260767,2.7636478208786,2.27048414821956e-13
K,FD4:locOR,2.73616955284081,0.115555445342266,20.7595616445337,23.6784129448551,2.49568926186141,2.97664984382021,1.67061828717158e-16
K,FD5:locOR,2.58194869512004,0.115555445342266,20.759561674076,22.3438080955209,2.34146840416173,2.82242898607835,5.33371552336502e-16
K,FD6:locOR,2.31178911280951,0.115555445342266,20.7595617105918,20.0058864033813,2.07130882187727,2.55226940374175,4.79860387922048e-15
K,FD1:locWA,2.08362126000748,0.117435895429109,17.9458703171833,17.742626753038,1.83684424526028,2.33039827475468,7.95601931958861e-13
K,FD2:locWA,2.14912852436692,0.117435895429109,17.9458703113522,18.3004397123557,1.90235150961396,2.39590553911989,4.69294520503023e-13
K,FD3:locWA,2.14207839901542,0.108943360544179,13.1765738975249,19.6623124926163,1.90704078295026,2.37711601508057,3.76814816917154e-11
K,FD4:locWA,2.1989736775914,0.117435895429109,17.9458703244011,18.7248853475028,1.95219666285134,2.44575069233146,3.17100162347120e-13
K,FD5:locWA,2.1695972390703,0.117435895429109,17.9458703136249,18.4747366309306,1.92282022431958,2.41637425382101,3.99121490015324e-13
K,FD6:locWA,2.07273210754847,0.117435895429109,17.9458703257012,17.6499025274575,1.82595509280969,2.31950912228724,8.69822294918401e-13
K,FD1:year2018,2.60026262372092,0.0942817074561391,6.16811544300171,27.579715025108,2.37107924472845,2.82944600271339,1.07397484489765e-07
K,FD2:year2018,2.54374589738469,0.0942817074561373,6.16811591847026,26.9802697258969,2.31456252253859,2.77292927223079,1.22866708689279e-07
K,FD3:year2018,2.52612718118872,0.0864281545416683,4.35729639291257,29.2280587799759,2.29372863166822,2.75852573070922,3.62466463831143e-06
K,FD4:year2018,2.62210604116674,0.0942817074561374,6.16811588218797,27.8113974801169,2.39292266600424,2.85128941632924,1.02033232213327e-07
K,FD5:year2018,2.47906108396726,0.0942817074561375,6.16811589680145,26.2941895183707,2.2498777089322,2.70824445900233,1.43850627393135e-07
K,FD6:year2018,2.39737941505665,0.0942817074561374,6.16811590891657,25.4278319701834,2.16819604012724,2.62656278998606,1.76579547577113e-07
K,FD1:year2019,2.70389795481214,0.0764193491644888,6.62418315343272,35.3823735006188,2.52109571992806,2.88670018969623,8.48300754915827e-09
K,FD2:year2019,2.70282056751998,0.0764193491644886,6.62418318419019,35.3682751432796,2.52001833281927,2.8856228022207,8.50532698703303e-09
K,FD3:year2019,2.67413850093335,0.070219783848492,4.72212563863227,38.0824086087069,2.49039070324021,2.85788629862649,4.63987865121591e-07
K,FD4:year2019,2.77742386346052,0.0764193491644888,6.62418312336375,36.3445108317039,2.59462162839717,2.96022609852387,7.10747857387035e-09
K,FD5:year2019,2.68542151259368,0.0764193491644886,6.62418322118489,35.1405964844512,2.50261927811352,2.86822374707384,8.87530076192622e-09
K,FD6:year2019,2.4226466960665,0.0764193491644885,6.62418317960003,31.7020063969909,2.23984446133842,2.60544893079458,1.749368814701e-08
K,FD1:year2020,2.26690871972717,0.149503739685556,4.60653008295347,15.1628897343641,1.87251067894715,2.66130676050719,4.15558094395852e-05
K,FD2:year2020,2.33307172708946,0.149503739685556,4.60653010622684,15.6054405862789,1.93867368697089,2.72746976720803,3.64763126184467e-05
K,FD3:year2020,2.23617411274292,0.136701383659998,3.22000859533013,16.3580942114288,1.81747115829738,2.65487706718847,0.000329187662264324
K,FD4:year2020,2.32555258888603,0.149503739685556,4.60653011796829,15.5551466055448,1.93115454910116,2.7199506286709,3.70140665619499e-05
K,FD5:year2020,2.28319013696634,0.149503739685556,4.60653010413409,15.2717928111261,1.8887920967883,2.67758817714439,4.02301430727611e-05
K,FD6:year2020,2.3105575176659,0.149503739685556,4.60653012887138,15.454847634752,1.91615947819091,2.7049555571409,3.811550365207e-05
K,locID:year2018,2.74432061390769,0.153598540331464,13.914242383721,17.8668404529463,2.41469392149799,3.07394730631739,5.43849135214348e-11
K,locOR:year2018,2.70692023186187,0.126461782731581,14.0844665900239,21.4050456461411,2.43583920856649,2.97800125515725,3.82915536893847e-12
K,locWA:year2018,2.13310027547292,0.127030014474046,14.0433039125776,16.7920966104333,1.86072678864154,2.4054737623043,1.08166201083378e-10
K,locID:year2019,2.84574843798355,0.111380536122617,13.5199621567555,25.5497821886108,2.60606274850864,3.08543412745846,7.75659049375147e-13
K,locOR:year2019,2.80805012417236,0.110451843711059,13.9492603342687,25.4232978810041,2.57107361353626,3.04502663480846,4.38669348430838e-13
K,locWA:year2019,2.32937598553717,0.111378201725175,13.530487550955,20.9141102069945,2.08971348253296,2.56903848854138,1.07629930326595e-11
K,locID:year2020,2.72989841879895,0.214427900836402,13.0927310411193,12.7310784098088,2.26698840378526,3.19280843381264,9.45455950551075e-09
K,locOR:year2020,2.20223963995007,0.214380519462127,13.0545672176612,10.2725734851068,1.7392953981345,2.66518388176563,1.2670643041353e-07
K,locWA:year2020,1.94558934278989,0.214428133122252,13.0932030302099,9.07338656761357,1.48268050957784,2.40849817600195,5.19592617858759e-07
K,FD1:locID:year2018,2.81926712297642,0.182461334795642,26.9620290403652,15.4513126089646,2.44486271637094,3.19367152958191,6.43754303323518e-15
K,FD2:locID:year2018,2.84004442497806,0.182461334795634,26.9620286585326,15.5651849645792,2.46564001812413,3.21444883183199,5.38407322700283e-15
K,FD3:locID:year2018,2.79355261914228,0.166764354592502,18.9147710684325,16.7514972007567,2.4444043340118,3.14270090427277,8.41708048770012e-13
K,FD4:locID:year2018,2.65202918273953,0.182461334795634,26.9620286613781,14.5347461461352,2.27762477588746,3.02643358959161,2.82242535563824e-14
K,FD5:locID:year2018,2.53040740691563,0.182461334795634,26.9620286512317,13.8681842361277,2.15600300005695,2.90481181377431,8.66309069990738e-14
K,FD6:locID:year2018,2.83062292669424,0.182461334795634,26.9620286447732,15.5135493767196,2.45621851983135,3.20502733355712,5.83775829308594e-15
