trait,term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
DM,FD:year,0.34123088546231,0.034123088546231,10,102.900672396982,0.0604598271882065,0.999980689398266
DM,loc:year,24.3825553032728,6.09563882581821,4,104.137398176624,10.8003491393043,2.31215521335312e-07
DM,FD:loc:year,1.41968574406497,0.0709842872032486,20,102.90067240349,0.125771081113361,0.999998373032941
dNDF30,FD,7.55627074622712,1.51125414924542,5,61.845989764802,2.21372510980137,0.0640814066703335
dNDF30,loc,8.86372437683501,4.4318621884175,2,62.2516350411098,6.4919091302927,0.00274930935647409
dNDF30,year,18.206647960223,9.10332398011151,2,3.83933965932185,13.3347901062782,0.0187055395136577
dNDF30,FD:loc,7.2450415696951,0.72450415696951,10,61.8459897577063,1.06127288069958,0.405286186337941
dNDF30,FD:year,12.251764772835,1.2251764772835,10,61.8459897689752,1.79467095792902,0.0803320303849977
dNDF30,loc:year,36.4972532767604,9.12431331919011,4,62.1472161362907,13.3655358461524,6.45817041973773e-08
dNDF30,FD:loc:year,13.2115796584531,0.660578982922656,20,61.8459897706049,0.967633592425926,0.510886470123139
dNDF48,FD,7.1849144763085,1.4369828952617,5,61.9124248607059,1.93649912156678,0.100998243532649
dNDF48,loc,0.588453400454438,0.294226700227219,2,62.1412581522338,0.396504195290186,0.674357060910341
dNDF48,year,21.3712633330356,10.6856316665178,2,3.88835615614159,14.4001131842487,0.0159350901302911
dNDF48,FD:loc,7.47005787938177,0.747005787938177,10,61.9124248879588,1.00667590193141,0.448124407634869
dNDF48,FD:year,12.4332016240669,1.24332016240669,10,61.9124248939066,1.67551639637878,0.10692321432443
dNDF48,loc:year,47.1027134445975,11.7756783611494,4,62.0829231358171,15.8690760185185,5.34171516896165e-09
dNDF48,FD:loc:year,14.6253014585933,0.731265072929665,20,61.912424891746,0.985463484659551,0.491072805323999
Fat,FD,0.165088884304223,0.0330177768608446,5,102.931672199812,1.24352712603274,0.294326592192947
Fat,loc,0.156496291231811,0.0782481456159055,2,104.119325215173,2.9470091837264,0.0568910856077907
Fat,year,0.239871570856023,0.119935785428012,2,101.749395567884,4.51706373782669,0.0131983318545051
Fat,FD:loc,0.155793502474206,0.0155793502474206,10,102.931672196569,0.586754969006012,0.821519278698245
Fat,FD:year,0.31292234702436,0.031292234702436,10,102.931672197702,1.1785391503087,0.313877372534786
Fat,loc:year,0.367781284650498,0.0919453211626245,4,103.916244444426,3.46287702710553,0.0106753840478218
Fat,FD:loc:year,0.422106692328204,0.0211053346164102,20,102.931672202302,0.794876536058596,0.714192370313613
IVTDMD30,FD,39.0515251568961,7.81030503137922,5,61.889817416854,1.49008188832704,0.206023965917156
IVTDMD30,loc,265.040171261967,132.520085630984,2,62.1702082593849,25.2827231004327,9.22899389036007e-09
IVTDMD30,year,100.857698182913,50.4288490914565,2,3.86711618741065,9.62102176271691,0.0315348976200045
IVTDMD30,FD:loc,36.5472168523458,3.65472168523458,10,61.8898174117804,0.697262727661028,0.723196155891391
IVTDMD30,FD:year,84.8196805484513,8.48196805484513,10,61.8898174181582,1.61822450277097,0.122435717172788
IVTDMD30,loc:year,283.252852277523,70.8132130693808,4,62.0985250413176,13.5100339647419,5.58085653170463e-08
IVTDMD30,FD:loc:year,49.531353699046,2.4765676849523,20,61.8898174199097,0.47248969633543,0.967719967143881
IVTDMD48,FD,17.9929425358594,3.59858850717187,5,61.8324046098866,0.755661198177438,0.585190022302472
IVTDMD48,loc,185.054347280178,92.5271736400891,2,62.2565254332974,19.4296165725797,2.77543196296751e-07
IVTDMD48,year,17.5253270324716,8.7626635162358,2,3.82232347235766,1.84005612164542,0.275593393060174
IVTDMD48,FD:loc,27.1472960199277,2.71472960199277,10,61.8324046172153,0.570061239200094,0.831960246190051
IVTDMD48,FD:year,76.8004796619161,7.68004796619161,10,61.832404618649,1.61271960843156,0.124052941317766
IVTDMD48,loc:year,277.852011262021,69.4630028155053,4,62.1472461506463,14.58641237584,1.86418015634852e-08
IVTDMD48,FD:loc:year,27.1288542013498,1.35644271006749,20,61.8324046237354,0.284836991366431,0.998572392432239
K,FD,0.376821266273124,0.0753642532546248,5,102.716423468911,1.45199490927382,0.212142633143587
K,loc,6.16138751559001,3.08069375779501,2,103.633439805274,59.3537580507437,6.63352053424184e-18
K,year,1.30710275103993,0.653551375519966,2,105.133857560797,12.5915567291268,1.25225716593815e-05
K,FD:loc,0.338420705931361,0.0338420705931361,10,102.716423490267,0.652013548843905,0.765849954062536
K,FD:year,0.254866862420771,0.0254866862420771,10,102.716423491202,0.491035697689794,0.892449553275764
K,loc:year,0.936406633443898,0.234101658360975,4,103.487213643486,4.51028705936039,0.00212498959008621
K,FD:loc:year,0.926538524355262,0.0463269262177631,20,102.716423506915,0.892551284270409,0.596750168862118
Lignin,FD,0.940815957990836,0.188163191598167,5,102.962105895347,0.81654060127811,0.540574262917918
Lignin,loc,14.3237607880459,7.16188039402293,2,103.078096769587,31.0792247598884,2.73906266905402e-11
Lignin,year,16.8892086931509,8.44460434657545,2,103.863077580773,36.6456491949493,9.06899686662074e-13
Lignin,FD:loc,0.996807977875413,0.0996807977875413,10,102.962105925472,0.43256822904631,0.927514793320075
Lignin,FD:year,4.65368212071859,0.465368212071859,10,102.962105924464,2.0194812623734,0.0385281102809188
Lignin,loc:year,14.3864519060261,3.59661297650653,4,103.062920487327,15.607624942252,5.14720044926329e-10
Lignin,FD:loc:year,2.14636092942024,0.107318046471012,20,102.962105918748,0.465710330746142,0.973646386711731
Mg,FD,0.0137810563369982,0.00275621126739964,5,102.937540933555,2.98310414842539,0.014812420510456
Mg,loc,0.0738715538520194,0.0369357769260097,2,103.51850679545,39.9763511152203,1.36534216699272e-13
Mg,year,0.00933274077545436,0.00466637038772718,2,105.916318311585,5.05050865525686,0.00803479166424131
Mg,FD:loc,0.0165850497880269,0.00165850497880269,10,102.937540923891,1.79503405307468,0.0705879796337436
Mg,FD:year,0.00624799574883559,0.000624799574883559,10,102.937540924283,0.676233431673044,0.744157589229016
Mg,loc:year,0.0125185977725498,0.00312964944313744,4,103.43228470141,3.38728396744009,0.0120139851021254
Mg,FD:loc:year,0.010624182405283,0.000531209120264149,20,102.937540912784,0.574938557535336,0.921812988355115
P,FD,0.0016726835487674,0.000334536709753481,5,102.68050390632,0.799216890963914,0.55272462762875
P,loc,0.063024917750284,0.031512458875142,2,103.409279413471,75.2840829557336,6.65283733625778e-21
P,year,0.00383446075078751,0.00191723037539376,2,105.821503997114,4.58031317702895,0.0123659544342569
P,FD:loc,0.00425474128661695,0.000425474128661695,10,102.680503894207,1.01646874731673,0.434935122184696
P,FD:year,0.00356115821705657,0.000356115821705657,10,102.680503912622,0.850769950049387,0.581389950908864
P,loc:year,0.017217117594668,0.00430427939866699,4,103.298147690288,10.2830353098697,4.76227910603899e-07
P,FD:loc:year,0.00423786625084691,0.000211893312542345,20,102.680503900086,0.506218628714711,0.958575880777674
Starch,FD,2.61986829476305,0.523973658952609,5,67.0312720785996,1.13946303617919,0.348330091133428
Starch,loc,10.466575273224,5.233287636612,2,67.1325151152119,11.3806061005679,5.5451976919424e-05
Starch,year,71.1961518622951,35.5980759311475,2,67.5856365377457,77.4136084697944,3.3020994065977e-18
Starch,FD:loc,1.96633779227766,0.196633779227766,10,67.0312720829969,0.427611043543935,0.92815873452376
Starch,FD:year,4.97161489736699,0.497161489736699,10,67.0312720852296,1.08115576210289,0.389058359987511
Starch,loc:year,2.354494647615,0.784831549205001,3,67.1744789244428,1.70673949857322,0.173952322377256
Starch,FD:loc:year,6.40308381512226,0.426872254341484,15,67.0312720907096,0.928300777494994,0.538032522961939
Su_ESC,FD,4.80821298995147,0.961642597990295,5,67.9293155245983,1.46434111681246,0.212997584667945
Su_ESC,loc,16.1485337790264,8.07426688951319,2,68.1331340294911,12.2950886526253,2.75963751766964e-05
Su_ESC,year,16.5731305272312,8.28656526361559,2,69.468943785611,12.6183659688343,2.11470742046579e-05
Su_ESC,FD:loc,3.58422136196374,0.358422136196374,10,67.929315535151,0.545787252254607,0.851353890903982
Su_ESC,FD:year,4.78567185283411,0.478567185283411,10,67.9293155325205,0.728738107101591,0.69484588216621
Su_ESC,loc:year,7.53422579077897,1.88355644769474,4,68.2118244894881,2.86818528833979,0.029442628304133
Su_ESC,FD:loc:year,5.53867897555204,0.276933948777602,20,67.9293155263267,0.421701127512209,0.983275442957794
Su_WSC,FD,2.28919874862346,0.457839749724692,5,67.9170281464269,1.44685528266763,0.218890650458537
Su_WSC,loc,0.314282593449319,0.15714129672466,2,67.9917410447052,0.496594529915832,0.610789762156875
Su_WSC,year,68.4587806641347,34.2293903320674,2,68.4647431232088,108.170979593241,6.41672030159532e-22
