year,ID,cut,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg
2018,10816,3,93.0726929,15.1579933,29.1813068,35.9713058,6.9302983,2.1416488,5.8030243,13.2816753,75.4074249,14.1846876,78.9554367,1.4788352,0.2106106,1.2419701,0.3665365
2018,10817,3,92.9503708,18.0125942,24.4250259,29.4250088,7.1466651,2.3221228,4.5564475,11.6935053,80.6362457,12.5191364,83.4160538,1.7604123,0.2397937,1.5164731,0.4364657
2018,10907,3,93.3783264,15.7394295,26.4235401,33.1214752,7.7547407,2.3037698,5.1219082,12.5130253,77.8968048,14.170928,80.7335052,1.6191866,0.2204433,1.276516,0.3751938
2018,10910,3,92.938385,14.4123936,24.2560444,31.0682087,5.3729806,2.2132335,4.3782096,12.6714716,78.6407013,12.3155613,81.1038513,1.524811,0.2002077,1.0005029,0.4049748
2018,11016,3,93.1636505,17.8327141,26.8676281,32.1695671,7.3352494,2.2339728,5.220757,12.3258133,78.4623642,13.1616545,81.5221405,1.6134335,0.2407522,1.5767668,0.3886222
2018,11019,3,93.594429,18.7969685,24.6358929,29.9298172,9.1760502,2.4095716,4.8368726,11.7240448,80.8367767,13.9493294,83.5285492,1.7240624,0.2523714,1.6684177,0.4028511
2018,11102,3,92.924469,19.0926895,25.3772659,30.7570858,7.5406952,2.2654467,5.0171299,11.8749409,79.3196945,12.7352543,82.3393707,1.6457521,0.2453617,1.3214958,0.4439166
2018,11117,3,93.1292267,18.9148102,27.0043888,32.5383377,7.4004903,2.2114398,5.293611,12.3606691,78.7232437,13.3275671,81.9185486,1.6226186,0.2421455,1.3909171,0.425467
2018,11120,3,93.5259933,18.3543987,26.2008305,31.2697105,7.7454906,2.3075728,4.9156103,12.32932,79.8333359,13.8553629,82.8757858,1.50284,0.2614881,1.7736887,0.3765115
2018,30103,2,94.6508255,21.7623539,32.2656746,36.1741982,8.7788267,2.0347493,5.8081102,14.5050735,77.6699753,18.0402889,81.7987442,1.1237128,0.3453728,3.1134431,0.3154211
2018,30120,2,94.7517471,24.5736618,27.1985931,29.9368153,8.9497538,2.1693413,4.8353043,12.439949,81.6767578,15.5341673,84.7705154,1.2249414,0.3547428,2.9429178,0.3596429
2018,30210,2,94.8905106,23.5724812,31.1000481,34.9395447,8.389884,1.967849,5.5565238,14.4608841,79.244194,17.883997,82.8717499,1.0797933,0.3576475,2.9042101,0.33442
2018,30217,2,94.917099,21.6809978,30.1383686,33.4416428,8.0155239,2.0653346,5.4890366,12.8742962,78.0309372,15.7163706,81.6330414,1.2333138,0.3197336,2.5284493,0.3491628
2018,30309,2,94.6813431,23.8477364,29.553648,32.8801308,8.7942495,2.3137572,5.4574428,12.2165775,79.5571594,16.0074768,83.0741501,1.3839424,0.3426682,2.6572225,0.389673
2018,30311,2,94.6729965,21.7744255,32.3834305,36.1562729,8.1167154,2.0350206,6.060236,13.5729599,76.4992676,16.5235901,80.3733826,1.323669,0.3201935,2.4862142,0.3774337
2018,30317,2,94.8877411,21.1429348,33.8679199,38.7514687,8.1309605,2.0649331,6.4136701,14.1104441,74.6654739,17.6479626,78.798111,1.2008338,0.3293135,2.6746142,0.3366419
2018,30320,2,94.8174896,21.6943035,32.0106087,36.6374359,9.1772671,2.0545275,5.9197798,14.3216057,77.2334824,17.973793,81.1454163,1.3121592,0.327374,2.6632409,0.3433835
2018,30406,2,95.0428467,21.4418793,31.3517551,35.8180618,8.41465,1.8458157,5.5888548,13.733366,76.5540695,16.7825375,80.8115768,1.3399385,0.3097467,2.6885593,0.3276509
2018,30410,2,94.9190445,22.1994019,32.2968674,35.7804794,8.4408703,1.9222175,5.8897433,13.3337536,76.4835434,16.5931778,80.3956451,1.2283792,0.335864,2.8935163,0.3085587
2018,30413,2,94.6515121,24.2379169,29.7969551,32.8877068,8.6616545,2.2730963,5.5274725,12.7475739,79.4661713,16.1579552,82.6500015,1.1996673,0.3602264,2.6474473,0.393118
2018,30414,2,94.6730194,24.4618244,28.5629635,31.5218983,8.8324947,2.2181995,5.0752845,12.9803963,80.8033142,16.5027008,84.3561249,1.2453792,0.3639379,2.8487203,0.3775232
2018,30505,2,94.8113327,22.4772778,30.3946838,34.7087975,8.7479286,2.0005891,5.572823,13.9699259,78.9111786,17.0089531,82.2812805,1.3408815,0.3304808,2.7029815,0.3444362
2018,30508,2,94.9043121,20.6856709,30.7276077,34.9366455,8.0191269,2.0584917,5.4815717,13.4865389,77.5308685,16.7619152,81.217308,1.1577747,0.3233053,2.9078851,0.2934278
2018,30601,2,94.4255905,24.8852425,21.9617462,25.0008831,9.5079746,2.0698552,4.1489263,10.631773,83.7297211,13.2433357,87.6285629,1.6210406,0.3177615,2.4392533,0.3571876
2018,30601,3,94.7442856,21.1200199,33.0361748,37.0708733,8.2493534,1.9067307,5.9404502,14.095047,75.9104538,17.0383472,80.1511536,1.2958388,0.3113103,2.5828543,0.329249
2018,30612,2,94.6620331,23.2179337,28.7870884,31.8090096,9.0202847,2.106483,5.0961761,12.7325878,80.3344879,15.6663113,83.6142578,1.3885591,0.3299813,2.7573936,0.3590751
2018,30704,2,94.6608429,23.0868492,30.103117,34.2631874,9.1225252,2.0649071,5.3863034,13.9434519,79.6819992,17.5004425,83.4628601,1.3172511,0.338257,2.8810565,0.3402118
2018,30719,2,94.5678558,23.5011654,29.4739857,32.2411575,8.8969059,2.1799774,5.3663235,12.3369579,79.3395615,15.6350927,83.1336899,1.1845875,0.348,3.0908642,0.3323458
2018,30807,2,95.0512772,21.5960484,31.2023067,35.4604454,9.2692528,2.0241985,5.671339,14.1271601,77.7425385,17.7835846,81.656723,1.2853606,0.3307123,2.9663224,0.3273804
2018,30818,2,94.6407776,24.1685867,28.8240185,32.0917854,8.801981,2.1928844,5.1952977,12.5891514,80.1051407,16.1389694,83.4302979,1.2449771,0.3563353,2.9846284,0.3515711
2018,30819,2,94.739212,19.9367085,34.663105,38.739666,7.4982872,1.8146379,6.1888027,14.3696108,73.8609085,16.9949188,78.5465698,1.3417742,0.3064524,2.6218116,0.3309956
2018,30907,2,94.4863892,24.9285583,28.7097607,32.0109444,8.5601387,2.4756358,5.276598,13.021904,81.574707,16.7402287,84.3024597,1.2179195,0.3782303,2.7564328,0.4024703
2018,30916,2,95.0721436,20.0372868,34.6074219,38.0012894,10.4525328,1.8139384,6.3441176,13.8131418,72.9773407,16.1861687,77.2843246,1.2895626,0.3169223,2.56302,0.3052635
2018,31010,2,95.0144653,22.8509388,29.1957302,32.1762428,8.3055992,2.094429,5.3030019,12.4753656,78.7142944,15.4976196,82.4577484,1.2268666,0.3336548,2.5495107,0.350788
2018,31017,2,94.9175339,21.050354,32.9667892,37.6267548,7.9023666,1.866575,6.0011559,14.777648,76.4836655,17.574585,80.4015884,1.2229534,0.3151387,2.5233469,0.3170256
2018,31103,2,94.7482224,22.8933659,32.2438698,36.9164886,9.4885893,2.0528612,5.8993421,15.0876093,78.4313278,18.8056736,81.8366318,1.2835826,0.3562936,2.9503882,0.3174405
