cut,year,ID,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,Su_ESC,Su_WSC,Starch
3,2020,20919,94.2617798,26.8138065,27.9922199,31.2673626,10.7150869,1.7984825,5.4029875,14.8587217,80.042244,15.7402449,83.5777054,1.3836848,0.3799644,2.7770572,0.4292546,5.7878346,8.0832405,1.254235
4,2020,20103,93.946701,28.2021065,26.9989109,30.0559349,10.480731,2.133867,5.1083655,15.0387039,82.2928238,16.4840851,85.4345322,1.242587,0.4108873,3.1553619,0.3895196,4.9393063,7.1261744,1.3561153
4,2020,20105,93.8710403,25.4973793,30.8235054,34.7850189,9.3656406,2.0537109,5.9128089,16.1795425,79.8457108,18.3611298,82.458931,1.1463333,0.3999124,3.0974064,0.3636465,5.0088243,7.2008882,1.0922897
4,2020,20106,94.0813751,26.3504143,28.8548279,32.1457787,11.0855541,1.9814055,5.1732755,16.6467972,81.4429703,17.3213062,84.6055832,1.3115195,0.401001,3.1672115,0.37475,4.9433885,7.3898816,1.3559698
4,2020,20203,93.9891739,27.4533234,27.45294,31.636446,11.0854263,2.1654177,5.0574412,16.6478233,81.9682999,18.1549263,84.8532181,1.2566761,0.419191,3.1590161,0.3845534,4.1645703,6.6122031,1.5834879
4,2020,20212,93.8717728,27.4729137,27.8567963,31.5923252,10.3623934,2.1721065,5.3999801,15.3395815,81.5947571,17.0831928,84.52211,1.23836,0.407485,2.9562209,0.3968004,4.6540198,6.912149,1.4540962
4,2020,20213,93.9998093,27.6637173,27.9697971,30.8647346,9.5653744,2.2663364,5.3063622,15.7310877,82.3644562,16.8678989,84.3117142,1.209985,0.4226152,3.0156999,0.4005186,5.1386065,7.3069234,1.1717715
4,2020,20214,94.0311584,27.8736572,27.7374535,31.515976,10.5370321,1.901933,5.2285438,16.4234257,82.2630463,17.7551479,84.8668518,1.23209,0.3995519,3.0451736,0.3785557,4.6647949,7.096468,1.35184
4,2020,20314,94.0299683,27.7463818,27.6261826,31.7978191,10.45959,1.9278593,5.2389545,16.374094,82.0967255,17.8445377,84.8838959,1.2302942,0.3945886,3.0403702,0.3775432,4.5726914,6.9992418,1.296653
4,2020,20320,94.0837021,26.9852142,28.7575245,32.0220299,9.9018412,2.0208004,5.5505233,16.0818176,81.4133911,16.9909325,83.6568985,1.2821472,0.4022626,2.978344,0.3888439,5.1418943,7.3100214,1.1042866
4,2020,20405,93.9590225,26.724617,29.3941231,32.6700325,10.5334959,1.9479766,5.6067843,15.6847506,80.99543,16.8364868,83.6611023,1.2745667,0.3948252,3.0685382,0.3769277,4.8346248,7.1288204,1.5365191
4,2020,20411,94.1258392,28.0757771,26.8643341,30.2779255,10.4072056,1.9616143,5.0085449,16.8399754,83.5061951,17.1041336,85.360878,1.4046345,0.4064081,3.0189786,0.3996347,5.1627178,7.5839577,1.243659
4,2020,20502,93.9573669,27.5610409,27.5018253,30.3639565,10.1122274,2.1458254,5.3782892,14.8264904,81.9222641,15.8893394,84.7257843,1.34868,0.4024361,3.0478854,0.4095716,5.2214575,7.3585591,1.343096
4,2020,20504,94.2274323,25.7259674,30.0720158,34.5971413,10.2194071,2.1174073,5.3378587,18.0512505,81.5887222,19.032917,83.6005173,1.1685261,0.402533,3.1149032,0.3579428,5.1216578,7.1379905,0.9927863
4,2020,20615,94.1174927,26.1799412,28.6831741,33.0746498,10.9369049,2.0211089,5.3032165,16.6798782,81.2550735,18.0395622,84.2273636,1.2712836,0.3950714,3.189321,0.3614316,4.6591277,7.0217376,1.3112586
4,2020,20616,93.9974747,27.307888,27.7571754,31.5942898,10.4457216,2.2378163,5.1240215,15.5376301,82.2218323,16.9021473,84.3271942,1.28941,0.4059465,3.0578587,0.426836,5.0459099,7.3534727,1.1837814
4,2020,20618,93.8942947,30.214859,25.0580177,27.758625,10.7172318,1.9483852,4.6700621,16.1044388,84.6593018,17.0078316,87.735199,1.35879,0.4225122,3.0370533,0.423437,5.0622125,7.5258241,0.9996285
