cut,block,position,gen,loc,year,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,NDFD30,dNDF48,IVTDMD48,NDFD48,Ca,P,K,Mg,Su_ESC,Su_WSC,Starch
1,6,19,88,OR,2021,93.4,21.64,29.91,33.84,7.42,2.07,6.62,13.28,81.78,39.24,15.15,81.7,44.77,1.15,0.34,2.31,0.31,7.88,9.91,2.76
1,10,13,89,OR,2021,93.93,19.36,29.99,34.56,8.4,1.91,6.59,12.99,79.9,37.57,14.82,80.14,42.87,1.43,0.29,1.83,0.32,8.5,10.72,3.71
1,1,2,90,OR,2021,94.56,18.54,35.68,41.28,6.92,1.55,7.6,15.58,76.84,37.73,18.25,77.27,44.21,1.2,0.31,2.43,0.27,7.32,9.56,1.28
1,8,8,91,OR,2021,93.71,20.87,31.78,36.26,8.39,1.87,6.9,15.7,80.64,43.3,17,80.72,46.87,1.31,0.33,2.56,0.31,6.89,9.43,1.6
1,2,14,92,OR,2021,94.73,16.28,37.82,44.11,8.39,1.5,8.18,15.03,73.09,34.06,17.84,74.14,40.44,1.21,0.29,2.28,0.22,6.95,9.22,1.31
1,10,5,93,OR,2021,94.5,20.9,30.96,35.45,8.62,1.84,6.79,16.77,81.15,47.3,17.43,80.25,49.16,1.41,0.31,2.21,0.32,6.55,9.36,1.16
1,2,18,94,OR,2021,93.65,18.51,34.14,39,8.78,1.75,7.5,14.7,77.97,37.69,17.11,77.81,43.89,1.23,0.31,2.57,0.25,6.65,9.28,2.48
1,1,12,95,OR,2021,94.06,19.4,33.47,37.92,8.79,1.71,7.46,15.69,78.99,41.38,17.7,78.46,46.67,1.31,0.32,2.76,0.29,6.28,9,2.1
1,9,1,96,OR,2021,94.38,20.87,32.59,37.16,8.69,1.65,7,16.11,79.28,43.36,17.26,79.91,46.43,1.33,0.32,2.28,0.34,6.65,9.26,1.21
1,11,17,97,OR,2021,93.81,21.44,30.64,35.46,7.66,2.03,6.81,15.45,80.39,43.57,16.87,81,47.56,1.34,0.32,1.94,0.37,7.25,9.43,1.84
1,6,17,98,OR,2021,93.42,20.66,31.38,35.69,8.65,2,6.83,14.83,80.28,41.55,15.8,80.07,44.27,1.46,0.32,2.38,0.32,7.17,9.56,2.09
1,2,19,99,OR,2021,94.19,18.82,32.28,37.26,7.86,1.85,6.8,14.69,79.38,39.42,17.55,79.6,47.12,1.25,0.31,2.35,0.28,7.35,9.58,2.79
1,4,3,100,OR,2021,94.23,20.27,31.35,36.18,9.6,1.97,6.98,16.55,80.59,45.75,17.68,80.48,48.87,1.52,0.31,2.41,0.31,6.3,9.17,1.42
1,6,9,101,OR,2021,93.45,19.27,32.13,37.03,7.71,1.97,7.27,13.46,78.29,36.35,15.83,78.85,42.75,1.27,0.31,2.12,0.28,7.3,9.55,3.17
1,4,11,102,OR,2021,94.11,21.55,31.59,36.24,7.87,1.95,7.02,15.36,79.15,42.39,16.26,78.6,44.85,1.46,0.32,2,0.34,6.49,8.92,1.93
1,10,16,103,OR,2021,94.34,19.52,31.6,36.26,8.24,1.92,6.77,14.59,78.83,40.23,16.75,79.84,46.21,1.41,0.3,2.08,0.3,7.36,9.74,2.14
1,3,17,104,OR,2021,93.74,21.4,31.62,36.74,7.33,1.86,6.85,15.58,79.89,42.4,17.04,80.11,46.4,1.43,0.32,2.11,0.35,7.21,9.58,1.35
1,8,9,105,OR,2021,93.53,22.64,29.74,33.55,9.5,2.04,6.41,16.42,83.53,48.95,16.98,82.59,50.6,1.56,0.35,2.5,0.35,6.52,9.47,1.41
1,10,12,106,OR,2021,94.22,19.42,32.32,36.89,9.07,1.9,7.09,14.09,77.89,38.2,15.98,79.24,43.32,1.25,0.31,2.5,0.27,7.09,9.2,1.93
1,10,15,107,OR,2021,93.54,19.02,30.79,35.82,8.06,1.71,6.86,12.62,78.38,35.23,14.67,79.34,40.95,1.57,0.28,1.84,0.35,8.53,10.8,3.65
