Loc,ID,Variety,Cutting,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,Su_ES,Su_WS,Starc
OR_19,30505,E: 201,2,94.34494,20.7767,32.80539,39.01934,9.43634,1.80726,5.68143,16.28226,76.76772,18.6493,79.77516,1.30853,0.33234,2.71002,0.35303,6.9751,7.56721,3.32602
OR_19,30508,E: 202,2,93.98613,21.93392,32.09552,38.54375,9.46315,2.23653,5.35272,15.28768,77.71207,18.93122,80.53236,1.2308,0.36157,2.99504,0.33685,5.83391,6.24351,4.18754
OR_19,30601,E: 201,2,94.16483,21.53595,31.19581,37.95585,9.85358,2.09894,5.22628,15.26471,77.54784,18.45093,80.61163,1.32828,0.33652,2.7576,0.35361,6.32785,7.05197,3.81384
OR_19,30612,E: 202,2,94.48683,21.13799,32.07845,38.13448,9.92505,1.75333,5.41236,15.4475,77.03918,17.44136,79.10822,1.2224,0.3292,2.76888,0.31364,6.80558,7.80511,4.14382
OR_19,30704,E: 201,2,94.33399,21.29381,31.44156,37.05051,10.09663,1.92746,5.04805,15.5788,78.40524,18.21139,81.1182,1.39062,0.33922,3.01419,0.34355,6.35654,7.11827,4.34683
OR_19,30719,E: 202,2,94.36018,22.9251,30.44227,36.361,10.28443,2.01759,5.03859,14.97302,78.74019,18.20668,81.58153,1.29614,0.35482,3.11387,0.34846,6.55682,7.21248,3.24587
OR_19,30807,E: 201,2,93.84194,21.69719,32.79557,39.0794,9.43065,2.29625,5.41066,15.96457,78.00452,19.86584,81.21449,1.20603,0.37277,3.19699,0.32287,5.19289,5.53852,3.9696
OR_19,30818,E: 202,2,94.33434,20.36704,34.81546,40.96535,10.17112,1.76818,5.87296,16.32011,74.99351,18.94615,77.98094,1.1688,0.34098,3.2056,0.29256,5.81134,6.70103,3.63811
OR_19,30819,E: 61,2,94.02503,21.01023,31.96677,38.27977,9.25714,1.90089,5.37296,15.17796,77.41034,18.32133,79.7785,1.27927,0.34104,2.86076,0.33185,6.43342,7.05442,4.86587
OR_19,30907,E: 202,2,94.22039,21.49889,34.2204,40.45567,9.31442,1.9475,5.8655,16.65115,76.47682,19.6817,79.34481,1.11799,0.36397,2.97807,0.3286,5.85751,6.04373,3.54623
OR_19,30916,E: 201,2,94.42671,19.09265,36.25719,42.66447,9.51191,1.7274,6.18887,17.19729,74.06951,19.98502,77.37305,1.15675,0.3373,3.12017,0.30304,6.0564,6.6448,3.67198
OR_19,31010,E: 202,2,94.03065,22.40308,33.39224,39.17715,9.2415,1.8852,5.69796,15.94868,76.9516,18.8206,79.43643,1.13165,0.36008,2.95952,0.33356,6.28744,6.42624,3.80764
OR_19,31017,E: 201,2,94.27777,19.63368,34.14854,40.78852,9.7434,2.043,5.72345,16.25058,75.73834,19.74914,79.15935,1.2059,0.34535,3.18207,0.30198,6.1317,6.81608,3.68767
OR_19,31103,E: 201,2,94.19242,21.07493,31.86277,37.46787,9.66119,2.02936,5.28157,15.61042,78.17303,18.81231,80.98569,1.22247,0.34655,3.27561,0.31844,6.2229,6.80058,3.75479
OR_19,31118,E: 202,2,94.53807,21.03902,32.06881,38.91645,10.22938,1.91738,5.38817,15.50451,76.87785,18.33136,79.68329,1.23359,0.33717,2.98185,0.33053,6.53274,7.39333,3.64849
OR_19,30103,E: 201,3,95.72923,19.10919,32.43447,38.58816,10.00243,1.98022,5.09712,16.12473,77.26956,19.3389,79.86663,1.06505,0.33225,3.24699,0.26977,6.56387,7.62831,4.75119
OR_19,30120,E: 202,3,94.31889,18.93065,33.92817,40.13948,10.06391,2.17385,5.53714,15.23841,75.58694,18.73001,78.45029,1.15499,0.32852,3.36082,0.26783,5.5232,6.41634,4.13646
OR_19,30210,E: 201,3,94.26472,19.3556,32.97543,38.67735,9.64523,2.082,5.29207,15.6636,77.35703,18.88612,79.77841,1.11618,0.32562,3.31945,0.26074,6.27172,7.16354,4.40436
OR_19,30217,E: 202,3,94.09611,20.2094,32.40974,37.81688,8.78054,2.11157,5.48888,14.74383,76.93671,17.65113,79.62585,1.19022,0.31472,2.79502,0.31578,6.94266,7.23249,3.76499
OR_19,30309,E: 202,3,95.81673,20.82578,33.22616,39.04917,8.80104,2.03566,5.69486,15.60755,76.1937,18.85246,78.9847,1.22748,0.32457,2.70353,0.30952,6.98888,7.11018,3.7884
OR_19,30311,E: 144,3,95.76498,19.02776,33.53061,39.5056,8.69663,1.88546,5.61635,15.57474,76.12881,18.93815,78.57442,1.08924,0.3066,2.89432,0.26738,7.1115,7.40312,4.43461
OR_19,30317,E: 104,3,95.65934,20.43202,32.94509,38.70063,9.55618,1.97752,5.59135,15.32157,76.07595,18.44563,78.63291,1.22794,0.31596,2.8436,0.31282,7.06665,7.3589,3.70495
OR_19,30320,E: 201,3,94.60877,19.60179,34.7569,40.77176,9.60517,2.06061,5.87963,16.75582,75.7895,19.71276,78.93588,1.17284,0.33557,3.28271,0.28939,6.06156,6.87896,3.01585
OR_19,30406,E: 201,3,94.61935,18.99703,34.9021,40.94151,9.8088,1.93402,5.8572,16.30965,75.20084,19.36114,78.21037,1.18764,0.33071,3.29148,0.27706,5.91141,6.80347,3.43133
OR_19,30410,E: 44,3,94.43002,19.88841,34.68156,39.76379,9.16969,2.00937,5.92946,15.50792,75.38054,18.39898,78.0119,1.16403,0.32996,3.04237,0.28769,6.62659,6.99106,3.61844
OR_19,30413,E: 202,3,94.29469,20.89902,32.58,38.14487,8.8005,2.16989,5.68892,14.93832,76.58004,17.72681,79.31475,1.25713,0.33063,2.63637,0.34661,6.95409,7.23471,3.55219
OR_19,30414,E: 112,3,94.09917,20.40217,30.69608,35.584,9.71976,2.24888,4.94814,14.51423,79.33405,17.58594,81.46365,1.21847,0.3353,3.13212,0.31201,6.38834,7.27558,4.62698
OR_19,30505,E: 201,3,95.6591,20.44658,31.74291,38.17422,8.83037,1.95418,5.46404,15.61597,77.42274,18.74955,79.36364,1.13943,0.32675,2.64162,0.29839,6.70235,7.3324,4.71282
OR_19,30508,E: 202,3,94.38074,20.11034,32.18765,37.81862,9.81564,2.0326,5.30918,15.00382,76.94435,17.90337,79.5819,1.2749,0.32315,3.14494,0.29825,6.7059,7.68137,3.94054
OR_19,30601,E: 201,3,95.68306,20.51058,32.1388,38.89203,8.37834,2.11178,5.59315,15.80846,77.3904,19.21902,79.69098,1.17796,0.32519,2.64757,0.30753,6.77121,6.89931,4.31661
OR_19,30612,E: 202,3,94.37681,19.41832,32.68765,37.88481,9.85713,2.15228,5.43375,14.90981,77.06529,17.55901,79.31248,1.30241,0.31755,2.92903,0.30323,6.6792,7.48006,3.96123
OR_19,30704,E: 201,3,94.61079,19.68791,33.25046,38.63848,9.67255,2.05494,5.59918,15.8092,76.6832,18.5337,79.64276,1.29735,0.32053,2.99449,0.3114,6.71445,7.50376,3.27259
OR_19,30719,E: 202,3,95.97616,20.51857,31.84034,37.55799,9.90834,2.06603,5.20209,15.37978,77.65117,18.97917,80.23631,1.10682,0.33599,3.38808,0.25643,6.51536,7.05007,3.99908
OR_19,30807,E: 201,3,96.02657,18.9902,34.72427,41.2296,9.48116,1.88865,5.78814,16.80198,75.1927,20.48512,78.43899,1.10141,0.32369,3.26871,0.252,6.07023,6.52285,3.96889
OR_19,30818,E: 202,3,94.49445,20.09017,33.38453,38.44465,9.51687,2.18428,5.56128,15.11772,76.90707,18.03359,79.03789,1.18586,0.33816,3.19448,0.28727,6.17769,6.72124,3.81926
OR_19,30819,E: 61,3,96.00841,19.67404,32.41644,38.7604,9.30339,1.85054,5.53086,14.97556,75.92599,18.13938,78.44028,1.34102,0.29617,2.56494,0.30346,7.39518,7.89434,4.47076
OR_19,30907,E: 202,3,95.84393,20.9131,32.47366,38.8263,9.34423,2.0407,5.58879,15.32082,76.17557,18.73864,78.79194,1.20088,0.32343,2.86736,0.29626,6.51822,6.94082,3.83214
OR_19,30916,E: 201,3,94.25845,19.40033,33.03603,38.52641,9.4883,2.01285,5.54921,15.85548,76.77063,18.73705,79.72305,1.19896,0.31812,3.02398,0.29999,6.74986,7.4305,3.69403
OR_19,31010,E: 202,3,94.19737,20.35774,31.43021,37.18268,8.8623,2.181,5.24748,14.44406,77.87965,17.48487,79.82506,1.11726,0.32347,2.85146,0.29691,6.464,6.87713,4.8412
OR_19,31017,E: 201,3,96.08045,19.11841,34.46356,41.50098,8.89842,1.79155,5.99981,16.49303,74.45831,19.80218,77.57576,1.18279,0.30391,2.79967,0.2778,7.19903,7.56538,3.67686
